"Plot Title: NRG_6-3_sm"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 10992169, SEN S/N: 10992169)","Intensity, Lux (LGR S/N: 10992169, SEN S/N: 10992169)","Coupler Attached (LGR S/N: 10992169)","Host Connected (LGR S/N: 10992169)","Stopped (LGR S/N: 10992169)","End Of File (LGR S/N: 10992169)"
1807,04/01/18 12:00:00 AM,0.121,0.0,,,,
1808,04/01/18 02:00:00 AM,0.121,0.0,,,,
1809,04/01/18 04:00:00 AM,0.121,0.0,,,,
1810,04/01/18 06:00:00 AM,0.121,0.0,,,,
1811,04/01/18 08:00:00 AM,0.121,0.0,,,,
1812,04/01/18 10:00:00 AM,0.121,0.0,,,,
1813,04/01/18 12:00:00 PM,0.121,0.0,,,,
1814,04/01/18 02:00:00 PM,0.121,0.0,,,,
1815,04/01/18 04:00:00 PM,0.121,0.0,,,,
1816,04/01/18 06:00:00 PM,0.121,0.0,,,,
1817,04/01/18 08:00:00 PM,0.121,0.0,,,,
1818,04/01/18 10:00:00 PM,0.121,0.0,,,,
1819,04/02/18 12:00:00 AM,0.121,0.0,,,,
1820,04/02/18 02:00:00 AM,0.121,0.0,,,,
1821,04/02/18 04:00:00 AM,0.121,0.0,,,,
1822,04/02/18 06:00:00 AM,0.121,0.0,,,,
1823,04/02/18 08:00:00 AM,0.121,0.0,,,,
1824,04/02/18 10:00:00 AM,0.121,0.0,,,,
1825,04/02/18 12:00:00 PM,0.121,0.0,,,,
1826,04/02/18 02:00:00 PM,0.121,0.0,,,,
1827,04/02/18 04:00:00 PM,0.121,0.0,,,,
1828,04/02/18 06:00:00 PM,0.121,0.0,,,,
1829,04/02/18 08:00:00 PM,0.121,0.0,,,,
1830,04/02/18 10:00:00 PM,0.121,0.0,,,,
1831,04/03/18 12:00:00 AM,0.121,0.0,,,,
1832,04/03/18 02:00:00 AM,0.121,0.0,,,,
1833,04/03/18 04:00:00 AM,0.121,0.0,,,,
1834,04/03/18 06:00:00 AM,0.121,0.0,,,,
1835,04/03/18 08:00:00 AM,0.121,0.0,,,,
1836,04/03/18 10:00:00 AM,0.121,10.8,,,,
1837,04/03/18 12:00:00 PM,0.121,21.5,,,,
1838,04/03/18 02:00:00 PM,0.121,21.5,,,,
1839,04/03/18 04:00:00 PM,0.121,0.0,,,,
1840,04/03/18 06:00:00 PM,0.121,0.0,,,,
1841,04/03/18 08:00:00 PM,0.121,0.0,,,,
1842,04/03/18 10:00:00 PM,0.121,0.0,,,,
1843,04/04/18 12:00:00 AM,0.121,0.0,,,,
1844,04/04/18 02:00:00 AM,0.121,0.0,,,,
1845,04/04/18 04:00:00 AM,0.121,0.0,,,,
1846,04/04/18 06:00:00 AM,0.121,0.0,,,,
1847,04/04/18 08:00:00 AM,0.121,0.0,,,,
1848,04/04/18 10:00:00 AM,0.121,10.8,,,,
1849,04/04/18 12:00:00 PM,0.121,21.5,,,,
1850,04/04/18 02:00:00 PM,0.121,21.5,,,,
1851,04/04/18 04:00:00 PM,0.121,10.8,,,,
1852,04/04/18 06:00:00 PM,0.121,0.0,,,,
1853,04/04/18 08:00:00 PM,0.121,0.0,,,,
1854,04/04/18 10:00:00 PM,0.121,0.0,,,,
1855,04/05/18 12:00:00 AM,0.121,0.0,,,,
1856,04/05/18 02:00:00 AM,0.121,0.0,,,,
1857,04/05/18 04:00:00 AM,0.121,0.0,,,,
1858,04/05/18 06:00:00 AM,0.121,0.0,,,,
1859,04/05/18 08:00:00 AM,0.121,0.0,,,,
1860,04/05/18 10:00:00 AM,0.121,32.3,,,,
1861,04/05/18 12:00:00 PM,0.121,53.8,,,,
1862,04/05/18 02:00:00 PM,0.121,53.8,,,,
1863,04/05/18 04:00:00 PM,0.121,10.8,,,,
1864,04/05/18 06:00:00 PM,0.121,0.0,,,,
1865,04/05/18 08:00:00 PM,0.121,0.0,,,,
1866,04/05/18 10:00:00 PM,0.121,0.0,,,,
1867,04/06/18 12:00:00 AM,0.121,0.0,,,,
1868,04/06/18 02:00:00 AM,0.121,0.0,,,,
1869,04/06/18 04:00:00 AM,0.121,0.0,,,,
1870,04/06/18 06:00:00 AM,0.121,0.0,,,,
1871,04/06/18 08:00:00 AM,0.121,0.0,,,,
1872,04/06/18 10:00:00 AM,0.121,0.0,,,,
1873,04/06/18 12:00:00 PM,0.121,0.0,,,,
1874,04/06/18 02:00:00 PM,0.121,0.0,,,,
1875,04/06/18 04:00:00 PM,0.121,0.0,,,,
1876,04/06/18 06:00:00 PM,0.121,0.0,,,,
1877,04/06/18 08:00:00 PM,0.121,0.0,,,,
1878,04/06/18 10:00:00 PM,0.121,0.0,,,,
1879,04/07/18 12:00:00 AM,0.121,0.0,,,,
1880,04/07/18 02:00:00 AM,0.121,0.0,,,,
1881,04/07/18 04:00:00 AM,0.121,0.0,,,,
1882,04/07/18 06:00:00 AM,0.121,0.0,,,,
1883,04/07/18 08:00:00 AM,0.121,0.0,,,,
1884,04/07/18 10:00:00 AM,0.121,0.0,,,,
1885,04/07/18 12:00:00 PM,0.121,0.0,,,,
1886,04/07/18 02:00:00 PM,0.121,0.0,,,,
1887,04/07/18 04:00:00 PM,0.121,0.0,,,,
1888,04/07/18 06:00:00 PM,0.121,0.0,,,,
1889,04/07/18 08:00:00 PM,0.121,0.0,,,,
1890,04/07/18 10:00:00 PM,0.121,0.0,,,,
1891,04/08/18 12:00:00 AM,0.121,0.0,,,,
1892,04/08/18 02:00:00 AM,0.121,0.0,,,,
1893,04/08/18 04:00:00 AM,0.121,0.0,,,,
1894,04/08/18 06:00:00 AM,0.121,0.0,,,,
1895,04/08/18 08:00:00 AM,0.121,0.0,,,,
1896,04/08/18 10:00:00 AM,0.121,0.0,,,,
1897,04/08/18 12:00:00 PM,0.121,0.0,,,,
1898,04/08/18 02:00:00 PM,0.121,0.0,,,,
1899,04/08/18 04:00:00 PM,0.121,0.0,,,,
1900,04/08/18 06:00:00 PM,0.121,0.0,,,,
1901,04/08/18 08:00:00 PM,0.121,0.0,,,,
1902,04/08/18 10:00:00 PM,0.121,0.0,,,,
1903,04/09/18 12:00:00 AM,0.121,0.0,,,,
1904,04/09/18 02:00:00 AM,0.121,0.0,,,,
1905,04/09/18 04:00:00 AM,0.121,0.0,,,,
1906,04/09/18 06:00:00 AM,0.121,0.0,,,,
1907,04/09/18 08:00:00 AM,0.121,0.0,,,,
1908,04/09/18 10:00:00 AM,0.121,0.0,,,,
1909,04/09/18 12:00:00 PM,0.121,0.0,,,,
1910,04/09/18 02:00:00 PM,0.121,0.0,,,,
1911,04/09/18 04:00:00 PM,0.121,0.0,,,,
1912,04/09/18 06:00:00 PM,0.121,0.0,,,,
1913,04/09/18 08:00:00 PM,0.121,0.0,,,,
1914,04/09/18 10:00:00 PM,0.121,0.0,,,,
1915,04/10/18 12:00:00 AM,0.121,0.0,,,,
1916,04/10/18 02:00:00 AM,0.121,0.0,,,,
1917,04/10/18 04:00:00 AM,0.121,0.0,,,,
1918,04/10/18 06:00:00 AM,0.121,0.0,,,,
1919,04/10/18 08:00:00 AM,0.121,0.0,,,,
1920,04/10/18 10:00:00 AM,0.121,0.0,,,,
1921,04/10/18 12:00:00 PM,0.121,0.0,,,,
1922,04/10/18 02:00:00 PM,0.121,0.0,,,,
1923,04/10/18 04:00:00 PM,0.121,0.0,,,,
1924,04/10/18 06:00:00 PM,0.121,0.0,,,,
1925,04/10/18 08:00:00 PM,0.121,0.0,,,,
1926,04/10/18 10:00:00 PM,0.121,0.0,,,,
1927,04/11/18 12:00:00 AM,0.121,0.0,,,,
1928,04/11/18 02:00:00 AM,0.121,0.0,,,,
1929,04/11/18 04:00:00 AM,0.121,0.0,,,,
1930,04/11/18 06:00:00 AM,0.121,0.0,,,,
1931,04/11/18 08:00:00 AM,0.121,0.0,,,,
1932,04/11/18 10:00:00 AM,0.121,0.0,,,,
1933,04/11/18 12:00:00 PM,0.121,0.0,,,,
1934,04/11/18 02:00:00 PM,0.121,0.0,,,,
1935,04/11/18 04:00:00 PM,0.121,0.0,,,,
1936,04/11/18 06:00:00 PM,0.121,0.0,,,,
1937,04/11/18 08:00:00 PM,0.121,0.0,,,,
1938,04/11/18 10:00:00 PM,0.121,0.0,,,,
1939,04/12/18 12:00:00 AM,0.121,0.0,,,,
1940,04/12/18 02:00:00 AM,0.121,0.0,,,,
1941,04/12/18 04:00:00 AM,0.121,0.0,,,,
1942,04/12/18 06:00:00 AM,0.121,0.0,,,,
1943,04/12/18 08:00:00 AM,0.121,0.0,,,,
1944,04/12/18 10:00:00 AM,0.121,0.0,,,,
1945,04/12/18 12:00:00 PM,0.121,0.0,,,,
1946,04/12/18 02:00:00 PM,0.121,10.8,,,,
1947,04/12/18 04:00:00 PM,0.121,0.0,,,,
1948,04/12/18 06:00:00 PM,0.121,0.0,,,,
1949,04/12/18 08:00:00 PM,0.121,0.0,,,,
1950,04/12/18 10:00:00 PM,0.121,0.0,,,,
1951,04/13/18 12:00:00 AM,0.121,0.0,,,,
1952,04/13/18 02:00:00 AM,0.121,0.0,,,,
1953,04/13/18 04:00:00 AM,0.121,0.0,,,,
1954,04/13/18 06:00:00 AM,0.121,0.0,,,,
1955,04/13/18 08:00:00 AM,0.121,0.0,,,,
1956,04/13/18 10:00:00 AM,0.121,10.8,,,,
1957,04/13/18 12:00:00 PM,0.121,0.0,,,,
1958,04/13/18 02:00:00 PM,0.121,10.8,,,,
1959,04/13/18 04:00:00 PM,0.121,0.0,,,,
1960,04/13/18 06:00:00 PM,0.121,0.0,,,,
1961,04/13/18 08:00:00 PM,0.121,0.0,,,,
1962,04/13/18 10:00:00 PM,0.121,0.0,,,,
1963,04/14/18 12:00:00 AM,0.121,0.0,,,,
1964,04/14/18 02:00:00 AM,0.121,0.0,,,,
1965,04/14/18 04:00:00 AM,0.121,0.0,,,,
1966,04/14/18 06:00:00 AM,0.121,0.0,,,,
1967,04/14/18 08:00:00 AM,0.121,0.0,,,,
1968,04/14/18 10:00:00 AM,0.121,0.0,,,,
1969,04/14/18 12:00:00 PM,0.121,0.0,,,,
1970,04/14/18 02:00:00 PM,0.121,0.0,,,,
1971,04/14/18 04:00:00 PM,0.121,0.0,,,,
1972,04/14/18 06:00:00 PM,0.121,0.0,,,,
1973,04/14/18 08:00:00 PM,0.121,0.0,,,,
1974,04/14/18 10:00:00 PM,0.121,0.0,,,,
1975,04/15/18 12:00:00 AM,0.121,0.0,,,,
1976,04/15/18 02:00:00 AM,0.121,0.0,,,,
1977,04/15/18 04:00:00 AM,0.121,0.0,,,,
1978,04/15/18 06:00:00 AM,0.121,0.0,,,,
1979,04/15/18 08:00:00 AM,0.121,0.0,,,,
1980,04/15/18 10:00:00 AM,0.121,0.0,,,,
1981,04/15/18 12:00:00 PM,0.121,0.0,,,,
1982,04/15/18 02:00:00 PM,0.121,21.5,,,,
1983,04/15/18 04:00:00 PM,0.121,0.0,,,,
1984,04/15/18 06:00:00 PM,0.121,0.0,,,,
1985,04/15/18 08:00:00 PM,0.121,0.0,,,,
1986,04/15/18 10:00:00 PM,0.121,0.0,,,,
1987,04/16/18 12:00:00 AM,0.121,0.0,,,,
1988,04/16/18 02:00:00 AM,0.121,0.0,,,,
1989,04/16/18 04:00:00 AM,0.121,0.0,,,,
